NAME,total_event_count,annualized_frequency,severity,severity_norm,frequency_norm,hazard_score
Alameda,16,1.7777777777777777,0.8645135416675094,0.145863421428552,0.050256410256410255,0.19611983168496225
Alpine,5,1.25,1.08289399883163,0.22028840070638483,0.016153846153846154,0.236442246860231
Butte,2,1.0,0.9788404549008987,0.1848265148243083,0.0,0.1848265148243083
Colusa,1,1.0,0.5655877570891539,0.04398825543723698,0.0,0.04398825543723698
Contra Costa,25,1.9230769230769231,0.7610269069405758,0.11059474059006298,0.05964497041420119,0.17023971100426416
Fresno,22,1.4666666666666666,0.776338590592852,0.11581302684757805,0.03015384615384615,0.1459668730014242
Glenn,3,1.5,0.6913214750064597,0.08683883589685981,0.03230769230769231,0.11914652820455213
Humboldt,66,3.8823529411764706,2.386137518796516,0.664439279530044,0.18624434389140274,0.8506836234214468
Imperial,328,15.61904761904762,1.1364418671754426,0.23853773969767236,0.9446153846153849,1.1831531243130573
Inyo,346,16.476190476190474,1.1590826718297151,0.2462538212514413,1.0,1.2462538212514414
Kern,75,3.9473684210526314,1.0106055901448894,0.19565220666043653,0.19044534412955466,0.3860975507899912
Kings,6,1.2,0.8837750422550593,0.1524278219280482,0.01292307692307692,0.16535089885112514
Lake,28,1.6470588235294117,1.2260064426533497,0.26906172412619433,0.04180995475113122,0.3108716788773256
Lassen,5,2.5,2.4318905194442193,0.6800320947907286,0.09692307692307693,0.7769551717138055
Los Angeles,43,2.5294117647058822,1.1955589652823222,0.25868509564108233,0.09882352941176471,0.35750862505284703
Madera,1,1.0,0.5370317963702529,0.034256263791273917,0.0,0.034256263791273917
Mendocino,43,2.388888888888889,0.9179036818044222,0.16405900598282397,0.08974358974358974,0.2538025957264137
Merced,3,1.0,0.6031218556855722,0.05678003427370665,0.0,0.05678003427370665
Modoc,1,1.0,0.436515832240166,0.0,0.0,0.0
Mono,94,5.222222222222222,1.3506519865953837,0.31154145031336083,0.27282051282051284,0.5843619631338737
Monterey,16,1.4545454545454546,0.9658698292097458,0.18040607097681197,0.029370629370629377,0.20977670034744134
Napa,12,2.0,3.3707518815226707,1.0,0.06461538461538462,1.0646153846153845
Nevada,1,1.0,0.5956621435290106,0.054237732962131635,0.0,0.054237732962131635
Orange,15,2.5,1.2693335865642823,0.2838277971970801,0.09692307692307693,0.38075087412015707
Placer,4,1.3333333333333333,1.5802004614100875,0.3897725370287034,0.021538461538461538,0.41131099856716496
Plumas,30,4.285714285714286,2.16620011942688,0.5894836877931704,0.21230769230769234,0.8017913801008627
Riverside,83,4.15,1.048925553397033,0.2087118114804079,0.20353846153846158,0.4122502730188695
Sacramento,1,1.0,1.5135612484362087,0.36706161266725884,0.0,0.36706161266725884
San Benito,82,3.9047619047619047,0.9800742876325145,0.1852470102142131,0.1876923076923077,0.3729393179065208
San Bernardino,326,15.523809523809524,1.85959340284104,0.48499082783365455,0.9384615384615386,1.423452366295193
San Diego,71,3.55,1.0020041581702466,0.19272080242772455,0.16476923076923078,0.3574900331969553
San Luis Obispo,25,2.272727272727273,0.8326105571250804,0.13499074997111074,0.08223776223776226,0.21722851220887301
San Mateo,1,1.0,0.5655877570891539,0.04398825543723698,0.0,0.04398825543723698
Santa Barbara,4,1.0,0.6407692435219627,0.06961042256015562,0.0,0.06961042256015562
Santa Clara,33,2.2,1.2287540294761248,0.26999811328392653,0.07753846153846156,0.3475365748223881
Santa Cruz,4,1.0,0.7632094535783511,0.11133856167368336,0.0,0.11133856167368336
Shasta,5,1.25,2.0888275699469085,0.5631147971584545,0.016153846153846154,0.5792686433123007
Sierra,7,1.4,1.436368998752889,0.34075416896238203,0.02584615384615384,0.3666003228085359
Siskiyou,1,1.0,0.6839116472814291,0.08431353540958562,0.0,0.08431353540958562
Solano,4,1.3333333333333333,0.7795850786798616,0.11691944365675173,0.021538461538461538,0.13845790519521328
Sonoma,95,4.523809523809524,1.0391994550275074,0.2053971162049873,0.22769230769230772,0.433089423897295
Stanislaus,3,1.5,1.289558630594975,0.29072057735893464,0.03230769230769231,0.32302826966662695
Tehama,5,1.25,1.5268253417673203,0.371582071522079,0.016153846153846154,0.38773591767592513
Trinity,8,1.1428571428571428,2.2882935193564875,0.6310936325552704,0.009230769230769228,0.6403244017860397
Tulare,3,1.5,0.7174196465142509,0.09573320263131968,0.03230769230769231,0.128040894939012
Ventura,20,1.818181818181818,1.0239603374917046,0.2002035607855011,0.052867132867132856,0.25307069365263396
Yolo,1,1.0,0.5011872336272724,0.02204028588733349,0.0,0.02204028588733349
