id,time,longitude,latitude,depth,magnitude,place
nc73827301,2022-12-31 17:57:17.820,-124.4023333,40.5213333,18.87,2.75,"13km WSW of Ferndale, CA"
ci40151807,2022-12-31 12:12:26.650,-116.3933333,33.3975,3.88,4.14,"16 km N of Borrego Springs, CA"
ci40151719,2022-12-31 11:41:09.460,-116.9218333,34.3556667,4.73,3.47,"11km SSE of Lucerne Valley, CA"
nc73827136,2022-12-31 09:18:30.970,-124.3166667,40.5391667,17.7,2.64,"6km SW of Ferndale, CA"
nc73827126,2022-12-31 09:02:23.470,-122.015,38.4573333,18.5,2.76,"6km WNW of Allendale, CA"
nc73827091,2022-12-31 06:37:56.410,-121.4815,35.7735,3.18,2.66,"28km SSE of Lopez Point, CA"
nc73826571,2022-12-29 23:03:35.160,-119.3848333,37.6516667,7.88,2.61,"20km ESE of Yosemite Valley, CA"
nc73826471,2022-12-29 17:17:29.200,-124.0883333,40.5995,17.5,2.54,"6km N of Hydesville, CA"
nc73826156,2022-12-29 00:16:18.980,-124.0901667,40.5875,22.1,2.97,"4km N of Hydesville, CA"
nn00854257,2022-12-28 13:22:52.129,-118.1503,39.0976,8.1,3.4,"32 km NW of Gabbs, Nevada"
ci40150719,2022-12-28 00:55:24.090,-115.604,33.1173333,9.62,2.66,"8km W of Calipatria, CA"
nn00854243,2022-12-28 00:27:22.080,-118.1948,38.4897,2.1,2.6,"13 km NW of Mina, Nevada"
nc73825756,2022-12-27 18:07:18.980,-122.7681667,38.7865,1.61,2.5,"1km NW of The Geysers, CA"
ci40150599,2022-12-27 14:50:47.040,-116.8873333,34.5795,5.53,2.99,"17km NNE of Lucerne Valley, CA"
nc73825276,2022-12-26 13:58:53.920,-124.3978333,40.523,18.34,2.68,"13km WSW of Ferndale, CA"
nn00854164,2022-12-25 23:11:25.456,-117.9265,38.4913,2.9,2.9,"19 km NE of Mina, Nevada"
ci40149879,2022-12-25 18:53:13.340,-116.766,33.9778333,16.51,2.57,"7km NNE of Cabazon, CA"
ci40149623,2022-12-25 08:40:38.690,-116.3198333,33.9333333,5.06,2.5,"14km NNE of Thousand Palms, CA"
